,Month,Project,Client,Duration,Billable duration,Amount USD
0,01,CareerSearch,,8.539166666666667,8.539166666666667,256.18
1,01,Church,,0.5422222222222222,0.0,0.0
2,01,Exercise,,5.460833333333333,0.0,0.0
3,01,Math 633,,14.601944444444444,14.601944444444444,438.06
4,01,Peak,,5.069722222222222,5.0586111111111105,65.76
5,01,ToastMasters,,5.033333333333333,5.033333333333333,151.0
6,02,CareerSearch,,27.063055555555557,27.063055555555557,811.89
7,02,Church,,7.613333333333333,0.0,0.0
8,02,Coursera,,3.854166666666667,3.854166666666667,115.63
9,02,Exercise,,16.845,0.0,0.0
10,02,Math 633,,41.867222222222225,41.867222222222225,1256.02
11,02,Peak,,22.146944444444443,22.146944444444443,287.91
12,02,ToastMasters,,16.26361111111111,16.26361111111111,487.91
13,02,Work,,4.371388888888888,0.0,0.0
14,03,CareerSearch,,45.81888888888889,45.81888888888889,1374.57
15,03,Church,,6.273888888888889,0.0,0.0
16,03,Exercise,,16.941111111111113,0.0,0.0
17,03,Math 633,,29.97972222222222,29.97972222222222,899.39
18,03,ToastMasters,,12.5825,12.5825,377.48
19,03,Volunteer,,21.761944444444445,0.0,0.0
20,03,Work,,14.438611111111111,14.300833333333333,429.03
21,04,CareerSearch,,39.10805555555556,39.10805555555556,1173.24
22,04,Church,,7.768888888888889,0.0,0.0
23,04,Exercise,,21.748055555555556,0.0,0.0
24,04,Math 633,,30.447777777777777,30.447777777777777,913.43
25,04,OpenSource,,0.9988888888888888,0.9988888888888888,29.97
26,04,ToastMasters,,14.435833333333333,14.435833333333333,433.08
27,04,Volunteer,,16.25861111111111,0.0,0.0
28,04,Work,,33.93833333333333,33.93833333333333,1018.15
29,05,CareerSearch,,30.51777777777778,30.51777777777778,915.53
30,05,Church,,6.044722222222222,0.0,0.0
31,05,Coursera,,2.9472222222222224,2.9472222222222224,88.42
32,05,Exercise,,17.754444444444445,1.0727777777777778,32.18
33,05,Math 633,,3.7519444444444443,3.7519444444444443,112.56
34,05,ToastMasters,,9.959722222222222,9.959722222222222,298.79
35,05,Volunteer,,20.748055555555556,0.0,0.0
36,05,Work,,37.0,37.0,1110.0
37,06,CareerSearch,,20.61111111111111,20.61111111111111,618.3399999999999
38,06,Church,,10.318055555555555,0.0,0.0
39,06,Coursera,,11.880555555555556,11.880555555555556,356.42
40,06,Exercise,,19.44638888888889,0.0,0.0
41,06,OpenSource,,24.599444444444444,24.599444444444444,737.98
42,06,ToastMasters,,4.766944444444444,4.766944444444444,143.01
43,06,Volunteer,,7.814444444444444,7.814444444444444,234.43
44,06,Work,,3.3780555555555556,3.3780555555555556,101.34
45,07,CareerSearch,,58.61472222222223,58.61472222222223,1758.44
46,07,Church,,2.75,0.0,0.0
47,07,Exercise,,19.412499999999998,0.0,0.0
48,07,OpenSource,,81.16333333333334,81.16333333333334,2434.9
49,07,ToastMasters,,4.681666666666667,4.681666666666667,140.45
50,07,Work,,1.0,1.0,30.0
51,08,CareerSearch,,22.529444444444444,22.529444444444444,675.88
52,08,Church,,9.5,0.0,0.0
53,08,Exercise,,11.148888888888889,0.0,0.0
54,08,OpenSource,,116.83999999999999,116.83999999999999,3505.2
55,08,ToastMasters,,2.0,2.0,60.0
56,08,Volunteer,,5.583333333333333,5.583333333333333,167.5
57,08,Work,,13.5,13.5,405.0
58,09,CareerSearch,,22.070555555555554,22.070555555555554,662.12
59,09,Church,,8.416666666666666,0.0,0.0
60,09,Exercise,,10.048333333333334,0.0,0.0
61,09,ToastMasters,,4.75,4.75,142.5
62,09,Volunteer,,22.833333333333332,22.833333333333332,685.0
63,09,Work,,15.990277777777777,15.990277777777777,479.71
64,10,CareerSearch,,23.36416666666667,23.36416666666667,700.93
65,10,Church,,18.75,0.0,0.0
66,10,Exercise,,16.301111111111112,0.0,0.0
67,10,ToastMasters,,3.75,3.75,112.5
68,10,Volunteer,,34.43611111111111,34.43611111111111,1033.08
69,10,Work,,3.013611111111111,3.013611111111111,90.41
70,11,CareerSearch,,4.442222222222222,4.442222222222222,133.27
71,11,Church,,9.416666666666666,0.0,0.0
72,11,Exercise,,16.383888888888887,0.0,0.0
73,11,ToastMasters,,2.9827777777777778,2.9827777777777778,89.48
74,11,Udemy,,6.059722222222222,6.059722222222222,181.79
75,11,Volunteer,,14.5,14.5,435.0
76,12,Church,,8.333333333333334,0.0,0.0
77,12,Exercise,,7.8691666666666675,0.0,0.0
78,12,Udemy,,5.553611111111111,5.553611111111111,166.61
79,12,Volunteer,,24.415,24.415,732.45
